GENE_ID	locusLine	bin_1_33_0EX9_0229Kronos_MM1S-No-Treatment-1_p300_hs_i49.bam
1_MACS_peak_422_lociStitched	chr1(.):114483055-114484024	0.9487
1_MACS_peak_423_lociStitched	chr1(.):115237750-115238964	1.5852
1_MACS_peak_424_lociStitched	chr1(.):115641459-115642588	1.3259
1_MACS_peak_425_lociStitched	chr1(.):116830732-116831326	0.617
1_MACS_peak_426_lociStitched	chr1(.):117281106-117282016	0.9047
1_MACS_peak_427_lociStitched	chr1(.):117312042-117312834	0.7329
1_MACS_peak_428_lociStitched	chr1(.):118142250-118142833	0.6971
1_MACS_peak_429_lociStitched	chr1(.):118155145-118156055	0.7191
1_MACS_peak_430_lociStitched	chr1(.):118166168-118167309	0.7067
2_MACS_peak_431_lociStitched	chr1(.):118172089-118177019	0.8311
3_MACS_peak_433_lociStitched	chr1(.):118196703-118207743	0.8698
1_MACS_peak_436_lociStitched	chr1(.):119502558-119503329	0.8432
1_MACS_peak_437_lociStitched	chr1(.):120328929-120329698	0.7492
1_MACS_peak_438_lociStitched	chr1(.):120610939-120613328	0.7094
2_MACS_peak_439_lociStitched	chr1(.):120623180-120631081	0.6694
2_MACS_peak_441_lociStitched	chr1(.):120659574-120665686	0.6243
1_MACS_peak_443_lociStitched	chr1(.):120674209-120675110	0.6161
1_MACS_peak_444_lociStitched	chr1(.):120684840-120685999	0.8819
1_MACS_peak_445_lociStitched	chr1(.):120751098-120753471	1.0671
1_MACS_peak_446_lociStitched	chr1(.):120758769-120759829	0.6808
2_MACS_peak_447_lociStitched	chr1(.):120797802-120801988	0.6543
2_MACS_peak_449_lociStitched	chr1(.):120833135-120838401	0.4549
1_MACS_peak_451_lociStitched	chr1(.):120925521-120926159	0.5339
1_MACS_peak_452_lociStitched	chr1(.):121091195-121091966	0.5057
1_MACS_peak_453_lociStitched	chr1(.):142641442-142642528	0.8436
1_MACS_peak_454_lociStitched	chr1(.):142648099-142649554	0.6358
1_MACS_peak_455_lociStitched	chr1(.):142679329-142680206	0.7813
1_MACS_peak_456_lociStitched	chr1(.):142816564-142818050	0.9709
1_MACS_peak_457_lociStitched	chr1(.):142886273-142887490	0.6739
1_MACS_peak_458_lociStitched	chr1(.):143218884-143220232	0.5328
1_MACS_peak_460_lociStitched	chr1(.):143411446-143412524	1.042
1_MACS_peak_461_lociStitched	chr1(.):143442425-143444656	1.3391
1_MACS_peak_462_lociStitched	chr1(.):143461870-143468912	1.3819
1_MACS_peak_463_lociStitched	chr1(.):143672941-143673751	0.5151
1_MACS_peak_464_lociStitched	chr1(.):143742537-143746041	1.5491
1_MACS_peak_465_lociStitched	chr1(.):143917892-143919016	0.77
2_MACS_peak_466_lociStitched	chr1(.):143949895-143954368	0.9818
1_MACS_peak_468_lociStitched	chr1(.):143992281-143993271	1.0703
1_MACS_peak_469_lociStitched	chr1(.):143999658-144001215	1.9996
1_MACS_peak_470_lociStitched	chr1(.):144078362-144079210	0.4863
2_MACS_peak_471_lociStitched	chr1(.):144338897-144342200	0.7214
2_MACS_peak_473_lociStitched	chr1(.):144518648-144522414	0.8025
1_MACS_peak_475_lociStitched	chr1(.):144566928-144568763	0.9314
1_MACS_peak_476_lociStitched	chr1(.):144689700-144691323	0.8335
1_MACS_peak_477_lociStitched	chr1(.):144907848-144909224	1.5011
1_MACS_peak_478_lociStitched	chr1(.):144964894-144967019	1.623
1_MACS_peak_479_lociStitched	chr1(.):145128772-145130714	1.3243
2_MACS_peak_480_lociStitched	chr1(.):145138504-145145259	0.6796
2_MACS_peak_482_lociStitched	chr1(.):145153591-145160506	0.9139
2_MACS_peak_484_lociStitched	chr1(.):145188660-145197001	1.1221
1_MACS_peak_486_lociStitched	chr1(.):145208059-145212930	0.9579
1_MACS_peak_487_lociStitched	chr1(.):145382195-145383557	0.8963
2_MACS_peak_488_lociStitched	chr1(.):145395042-145399913	0.8854
1_MACS_peak_490_lociStitched	chr1(.):145453903-145456429	1.7186
1_MACS_peak_491_lociStitched	chr1(.):145610582-145611602	0.7584
1_MACS_peak_492_lociStitched	chr1(.):145759072-145759936	0.5566
1_MACS_peak_493_lociStitched	chr1(.):145790425-145791228	0.449
1_MACS_peak_494_lociStitched	chr1(.):145920431-145921041	0.4219
1_MACS_peak_495_lociStitched	chr1(.):145928460-145929325	0.5308
1_MACS_peak_496_lociStitched	chr1(.):145968063-145970185	0.8519
1_MACS_peak_497_lociStitched	chr1(.):145990971-145991792	0.6453
1_MACS_peak_498_lociStitched	chr1(.):146081814-146082758	0.4246
1_MACS_peak_499_lociStitched	chr1(.):146517732-146519170	1.2053
1_MACS_peak_500_lociStitched	chr1(.):146555516-146557027	0.9773
1_MACS_peak_501_lociStitched	chr1(.):146643533-146644726	0.9894
2_MACS_peak_502_lociStitched	chr1(.):147012508-147017446	0.6009
1_MACS_peak_504_lociStitched	chr1(.):147070982-147071932	0.6054
1_MACS_peak_505_lociStitched	chr1(.):147438807-147439493	0.3443
1_MACS_peak_506_lociStitched	chr1(.):147509941-147512018	1.072
1_MACS_peak_507_lociStitched	chr1(.):147532660-147533609	0.5371
1_MACS_peak_508_lociStitched	chr1(.):147623562-147624849	0.4817
1_MACS_peak_509_lociStitched	chr1(.):147734913-147736299	0.8345
1_MACS_peak_510_lociStitched	chr1(.):147751982-147753286	0.708
1_MACS_peak_511_lociStitched	chr1(.):147930071-147933390	0.8097
1_MACS_peak_512_lociStitched	chr1(.):147974943-147975782	0.4837
1_MACS_peak_513_lociStitched	chr1(.):147994075-147995018	0.5188
1_MACS_peak_514_lociStitched	chr1(.):148175961-148177768	0.9855
2_MACS_peak_515_lociStitched	chr1(.):148240559-148243196	1.0493
1_MACS_peak_517_lociStitched	chr1(.):148526435-148527883	0.8181
1_MACS_peak_518_lociStitched	chr1(.):148555356-148557286	0.775
2_MACS_peak_519_lociStitched	chr1(.):148603398-148605937	0.6755
1_MACS_peak_521_lociStitched	chr1(.):148765442-148767965	0.8255
1_MACS_peak_522_lociStitched	chr1(.):149214416-149215947	0.7671
1_MACS_peak_523_lociStitched	chr1(.):149222203-149225512	2.0617
1_MACS_peak_524_lociStitched	chr1(.):149293335-149295003	0.7882
1_MACS_peak_525_lociStitched	chr1(.):149379152-149379958	0.517
1_MACS_peak_526_lociStitched	chr1(.):149512996-149514197	0.5685
1_MACS_peak_527_lociStitched	chr1(.):149576028-149578280	0.9257
2_MACS_peak_528_lociStitched	chr1(.):149782446-149785622	0.7221
1_MACS_peak_530_lociStitched	chr1(.):149803233-149805196	1.1934
1_MACS_peak_531_lociStitched	chr1(.):149811355-149815428	0.955
1_MACS_peak_532_lociStitched	chr1(.):149821533-149825449	0.8371
1_MACS_peak_533_lociStitched	chr1(.):149831856-149833712	1.1808
1_MACS_peak_534_lociStitched	chr1(.):149855922-149860626	1.0832
1_MACS_peak_535_lociStitched	chr1(.):149909396-149910431	0.8961
1_MACS_peak_536_lociStitched	chr1(.):149969253-149970293	1.3603
1_MACS_peak_537_lociStitched	chr1(.):150038657-150040358	0.8396
1_MACS_peak_538_lociStitched	chr1(.):150131831-150134441	1.5015
2_MACS_peak_539_lociStitched	chr1(.):150206079-150209261	0.8058
1_MACS_peak_541_lociStitched	chr1(.):150240506-150241796	0.9463
1_MACS_peak_542_lociStitched	chr1(.):150265646-150267048	0.8401
1_MACS_peak_543_lociStitched	chr1(.):150293168-150294402	0.7015
1_MACS_peak_544_lociStitched	chr1(.):150335528-150338796	0.821
2_MACS_peak_545_lociStitched	chr1(.):150533177-150540912	1.1196
1_MACS_peak_547_lociStitched	chr1(.):150551594-150552816	0.7807
2_MACS_peak_548_lociStitched	chr1(.):150583351-150586812	1.482
1_MACS_peak_550_lociStitched	chr1(.):150742945-150744257	1.2026
1_MACS_peak_551_lociStitched	chr1(.):150862119-150863401	1.1498
1_MACS_peak_552_lociStitched	chr1(.):151030036-151031220	0.7523
1_MACS_peak_553_lociStitched	chr1(.):151042457-151044150	1.234
1_MACS_peak_554_lociStitched	chr1(.):151170432-151172120	0.6854
1_MACS_peak_555_lociStitched	chr1(.):151431821-151432769	0.8514
1_MACS_peak_556_lociStitched	chr1(.):151511887-151513368	0.7361
1_MACS_peak_557_lociStitched	chr1(.):151608109-151608950	0.7504
1_MACS_peak_558_lociStitched	chr1(.):151751994-151752899	0.9512
1_MACS_peak_559_lociStitched	chr1(.):151881360-151882865	0.8677
2_MACS_peak_560_lociStitched	chr1(.):151897351-151900055	0.7987
1_MACS_peak_562_lociStitched	chr1(.):152010525-152011923	1.21
1_MACS_peak_563_lociStitched	chr1(.):152366385-152367253	0.8427
1_MACS_peak_564_lociStitched	chr1(.):152432193-152433377	0.9671
1_MACS_peak_565_lociStitched	chr1(.):153762905-153764566	1.4636
1_MACS_peak_566_lociStitched	chr1(.):153814208-153815180	1.0089
1_MACS_peak_567_lociStitched	chr1(.):153826404-153827338	0.8485
1_MACS_peak_568_lociStitched	chr1(.):153895348-153896416	1.0442
1_MACS_peak_569_lociStitched	chr1(.):153917876-153919606	0.9225
1_MACS_peak_570_lociStitched	chr1(.):153939131-153940687	1.0905
1_MACS_peak_571_lociStitched	chr1(.):154181009-154182022	0.829
1_MACS_peak_572_lociStitched	chr1(.):154192109-154194667	0.7289
1_MACS_peak_573_lociStitched	chr1(.):154244411-154246262	0.9679
1_MACS_peak_574_lociStitched	chr1(.):154298069-154301176	0.9363
1_MACS_peak_575_lociStitched	chr1(.):154376676-154380630	0.9801
2_MACS_peak_576_lociStitched	chr1(.):154387855-154393329	0.702
1_MACS_peak_578_lociStitched	chr1(.):154531073-154531759	0.8715
1_MACS_peak_579_lociStitched	chr1(.):154579977-154581534	0.9127
1_MACS_peak_580_lociStitched	chr1(.):154600018-154601134	0.6757
1_MACS_peak_581_lociStitched	chr1(.):154717429-154718339	0.8523
2_MACS_peak_582_lociStitched	chr1(.):154757114-154765501	0.7917
1_MACS_peak_584_lociStitched	chr1(.):154779164-154780217	1.1593
1_MACS_peak_585_lociStitched	chr1(.):154809426-154811035	1.3868
1_MACS_peak_586_lociStitched	chr1(.):154831697-154833717	1.8455
2_MACS_peak_587_lociStitched	chr1(.):154908278-154917401	1.0399
2_MACS_peak_589_lociStitched	chr1(.):154926807-154935023	0.6474
1_MACS_peak_591_lociStitched	chr1(.):154954899-154956148	0.8822
2_MACS_peak_592_lociStitched	chr1(.):154971266-154974855	0.9162
1_MACS_peak_594_lociStitched	chr1(.):154988231-154989309	1.0556
1_MACS_peak_595_lociStitched	chr1(.):155107366-155109318	0.7319
1_MACS_peak_596_lociStitched	chr1(.):155213588-155215266	1.1569
1_MACS_peak_597_lociStitched	chr1(.):155242800-155243884	0.6486
2_MACS_peak_598_lociStitched	chr1(.):155435553-155442457	0.6874
1_MACS_peak_600_lociStitched	chr1(.):155455426-155456309	0.832
1_MACS_peak_601_lociStitched	chr1(.):155532226-155533683	0.8009
1_MACS_peak_602_lociStitched	chr1(.):155828087-155829539	0.6987
1_MACS_peak_603_lociStitched	chr1(.):155880938-155882302	0.664
1_MACS_peak_604_lociStitched	chr1(.):155914883-155917209	1.1265
1_MACS_peak_605_lociStitched	chr1(.):155947956-155950268	0.8596
1_MACS_peak_606_lociStitched	chr1(.):155981803-155983213	0.8977
1_MACS_peak_607_lociStitched	chr1(.):156066265-156067870	1.0247
1_MACS_peak_608_lociStitched	chr1(.):156074867-156077181	1.315
1_MACS_peak_609_lociStitched	chr1(.):156096709-156097586	1.1225
4_MACS_peak_610_lociStitched	chr1(.):156119064-156132117	0.8731
2_MACS_peak_615_lociStitched	chr1(.):156195190-156199014	1.1352
1_MACS_peak_617_lociStitched	chr1(.):156252075-156253227	0.9884
1_MACS_peak_618_lociStitched	chr1(.):156389673-156392002	0.6994
1_MACS_peak_619_lociStitched	chr1(.):156457857-156460574	0.8028
2_MACS_peak_620_lociStitched	chr1(.):156469880-156476042	1.1271
1_MACS_peak_622_lociStitched	chr1(.):156493895-156494805	0.8712
1_MACS_peak_623_lociStitched	chr1(.):156629515-156631720	0.7125
1_MACS_peak_624_lociStitched	chr1(.):157107938-157109281	1.1126
1_MACS_peak_625_lociStitched	chr1(.):157142934-157144536	0.7877
1_MACS_peak_626_lociStitched	chr1(.):157150838-157152895	0.7677
1_MACS_peak_627_lociStitched	chr1(.):157481321-157482727	1.1612
1_MACS_peak_628_lociStitched	chr1(.):157493315-157494527	1.0143
1_MACS_peak_629_lociStitched	chr1(.):157521796-157522664	0.5519
1_MACS_peak_630_lociStitched	chr1(.):157532091-157532887	0.9116
1_MACS_peak_631_lociStitched	chr1(.):157564829-157565886	1.1367
1_MACS_peak_632_lociStitched	chr1(.):157629075-157630278	1.4093
1_MACS_peak_633_lociStitched	chr1(.):157703770-157704763	0.9112
1_MACS_peak_634_lociStitched	chr1(.):157775748-157777223	1.3212
1_MACS_peak_635_lociStitched	chr1(.):158095532-158096869	1.2335
1_MACS_peak_636_lociStitched	chr1(.):158984933-158986020	1.0788
1_MACS_peak_637_lociStitched	chr1(.):159037188-159038683	1.3658
1_MACS_peak_638_lociStitched	chr1(.):159209021-159210038	1.1512
1_MACS_peak_639_lociStitched	chr1(.):159549958-159550729	0.5843
1_MACS_peak_640_lociStitched	chr1(.):159786828-159788500	0.8072
1_MACS_peak_641_lociStitched	chr1(.):159879895-159881151	1.6541
1_MACS_peak_642_lociStitched	chr1(.):159892848-159896040	1.0396
1_MACS_peak_643_lociStitched	chr1(.):160000544-160002333	0.8071
1_MACS_peak_644_lociStitched	chr1(.):160173908-160174994	1.21
1_MACS_peak_645_lociStitched	chr1(.):160196062-160197059	0.8207
1_MACS_peak_646_lociStitched	chr1(.):160642829-160645921	1.4103
1_MACS_peak_647_lociStitched	chr1(.):160681024-160683326	1.3487
1_MACS_peak_648_lociStitched	chr1(.):160709477-160710565	0.838
1_MACS_peak_649_lociStitched	chr1(.):160751583-160752967	1.4232
1_MACS_peak_650_lociStitched	chr1(.):160765267-160766450	1.4982
1_MACS_peak_651_lociStitched	chr1(.):160982896-160984374	1.1934
1_MACS_peak_652_lociStitched	chr1(.):160990111-160991778	0.8164
1_MACS_peak_653_lociStitched	chr1(.):161014318-161017076	1.0965
1_MACS_peak_654_lociStitched	chr1(.):161029656-161030771	0.9953
1_MACS_peak_655_lociStitched	chr1(.):161039059-161040746	1.2295
1_MACS_peak_656_lociStitched	chr1(.):161067107-161068418	0.9003
1_MACS_peak_657_lociStitched	chr1(.):161145572-161147945	1.0026
1_MACS_peak_658_lociStitched	chr1(.):161154796-161156319	1.2194
1_MACS_peak_659_lociStitched	chr1(.):161171443-161172887	0.9172
1_MACS_peak_660_lociStitched	chr1(.):161283705-161284831	0.8992
1_MACS_peak_661_lociStitched	chr1(.):161368585-161370124	1.1036
1_MACS_peak_662_lociStitched	chr1(.):161435196-161439688	0.5533
1_MACS_peak_663_lociStitched	chr1(.):161493377-161495175	0.6069
1_MACS_peak_664_lociStitched	chr1(.):161499759-161501508	0.9564
1_MACS_peak_665_lociStitched	chr1(.):161509246-161510860	1.593
1_MACS_peak_666_lociStitched	chr1(.):161676084-161677384	1.0255
1_MACS_peak_667_lociStitched	chr1(.):161735434-161736700	0.8351
1_MACS_peak_668_lociStitched	chr1(.):161775180-161776147	1.0526
1_MACS_peak_669_lociStitched	chr1(.):162235223-162236554	1.3785
1_MACS_peak_670_lociStitched	chr1(.):162254448-162255956	0.8124
1_MACS_peak_671_lociStitched	chr1(.):162543786-162544759	0.6244
1_MACS_peak_672_lociStitched	chr1(.):162557242-162558380	0.9201
1_MACS_peak_673_lociStitched	chr1(.):162804577-162805932	1.1352
1_MACS_peak_674_lociStitched	chr1(.):163795408-163796396	0.9547
1_MACS_peak_675_lociStitched	chr1(.):164414888-164416080	0.8101
1_MACS_peak_676_lociStitched	chr1(.):164605330-164606139	0.8181
1_MACS_peak_677_lociStitched	chr1(.):164629306-164630379	1.2083
2_MACS_peak_678_lociStitched	chr1(.):164685862-164691213	0.8449
1_MACS_peak_680_lociStitched	chr1(.):165562134-165563266	0.6706
1_MACS_peak_681_lociStitched	chr1(.):165599169-165600716	0.8046
1_MACS_peak_682_lociStitched	chr1(.):165722886-165723955	1.5139
1_MACS_peak_683_lociStitched	chr1(.):165796672-165797316	0.637
1_MACS_peak_684_lociStitched	chr1(.):165840328-165841249	0.7493
1_MACS_peak_685_lociStitched	chr1(.):165866262-165867209	0.761
1_MACS_peak_686_lociStitched	chr1(.):166808076-166808863	0.8659
1_MACS_peak_687_lociStitched	chr1(.):166844604-166846046	0.7691
1_MACS_peak_688_lociStitched	chr1(.):167188951-167190198	0.9398
1_MACS_peak_689_lociStitched	chr1(.):167245966-167246794	0.8778
1_MACS_peak_690_lociStitched	chr1(.):167424080-167425303	0.7893
1_MACS_peak_691_lociStitched	chr1(.):167522472-167523642	0.6847
2_MACS_peak_692_lociStitched	chr1(.):167596605-167600460	0.834
1_MACS_peak_694_lociStitched	chr1(.):167683113-167686167	0.8388
1_MACS_peak_695_lociStitched	chr1(.):167721803-167723109	0.7965
1_MACS_peak_696_lociStitched	chr1(.):167904263-167906937	0.8006
2_MACS_peak_697_lociStitched	chr1(.):168194441-168196943	0.9602
1_MACS_peak_699_lociStitched	chr1(.):168286074-168287049	0.7961
1_MACS_peak_700_lociStitched	chr1(.):168310063-168311076	0.9575
1_MACS_peak_701_lociStitched	chr1(.):168688704-168689617	0.8993
1_MACS_peak_702_lociStitched	chr1(.):169084998-169086252	1.0256
1_MACS_peak_703_lociStitched	chr1(.):169336636-169338089	1.2085
1_MACS_peak_704_lociStitched	chr1(.):169661322-169662461	0.8167
1_MACS_peak_705_lociStitched	chr1(.):169862615-169864067	1.2963
1_MACS_peak_706_lociStitched	chr1(.):169877363-169878723	1.0131
1_MACS_peak_707_lociStitched	chr1(.):169884550-169885463	0.8208
2_MACS_peak_708_lociStitched	chr1(.):171220173-171227204	0.7213
1_MACS_peak_710_lociStitched	chr1(.):171453861-171455417	1.1072
1_MACS_peak_711_lociStitched	chr1(.):172362907-172363806	0.8729
1_MACS_peak_712_lociStitched	chr1(.):172715144-172716125	1.4419
1_MACS_peak_713_lociStitched	chr1(.):172787367-172788971	1.2868
1_MACS_peak_714_lociStitched	chr1(.):172852345-172853280	0.8898
1_MACS_peak_715_lociStitched	chr1(.):172875618-172877016	1.8524
1_MACS_peak_716_lociStitched	chr1(.):173081062-173081918	1.2403
1_MACS_peak_717_lociStitched	chr1(.):173389423-173390148	0.8296
1_MACS_peak_718_lociStitched	chr1(.):173398411-173399864	0.7795
1_MACS_peak_719_lociStitched	chr1(.):173683280-173685065	0.9897
1_MACS_peak_720_lociStitched	chr1(.):173792394-173794603	0.8321
1_MACS_peak_721_lociStitched	chr1(.):173836220-173838298	0.9316
1_MACS_peak_722_lociStitched	chr1(.):174127939-174129325	0.6665
1_MACS_peak_723_lociStitched	chr1(.):174784182-174785259	1.1781
1_MACS_peak_724_lociStitched	chr1(.):174810821-174811505	1.1436
1_MACS_peak_725_lociStitched	chr1(.):174937133-174938596	0.8399
1_MACS_peak_726_lociStitched	chr1(.):174967343-174970468	1.0194
1_MACS_peak_727_lociStitched	chr1(.):174992039-174993318	1.0285
1_MACS_peak_728_lociStitched	chr1(.):175110844-175112187	0.9989
1_MACS_peak_729_lociStitched	chr1(.):175177722-175179316	1.007
1_MACS_peak_730_lociStitched	chr1(.):175359048-175359969	0.949
1_MACS_peak_731_lociStitched	chr1(.):176175907-176178293	0.721
1_MACS_peak_732_lociStitched	chr1(.):176660487-176661365	1.078
1_MACS_peak_733_lociStitched	chr1(.):177769142-177770584	2.0646
1_MACS_peak_734_lociStitched	chr1(.):177778650-177779547	0.9664
1_MACS_peak_735_lociStitched	chr1(.):177787051-177788211	1.3107
1_MACS_peak_736_lociStitched	chr1(.):177793275-177794875	0.8335
1_MACS_peak_737_lociStitched	chr1(.):178062365-178063300	0.7349
1_MACS_peak_738_lociStitched	chr1(.):178069301-178070264	1.4323
2_MACS_peak_739_lociStitched	chr1(.):178547233-178551228	1.0623
1_MACS_peak_741_lociStitched	chr1(.):178574737-178576171	1.0183
1_MACS_peak_742_lociStitched	chr1(.):178694756-178695816	0.6046
1_MACS_peak_743_lociStitched	chr1(.):178942174-178943461	1.106
1_MACS_peak_744_lociStitched	chr1(.):178995278-178996208	0.8008
1_MACS_peak_745_lociStitched	chr1(.):179049606-179053270	1.3807
1_MACS_peak_746_lociStitched	chr1(.):179214257-179215260	0.6882
1_MACS_peak_747_lociStitched	chr1(.):179262553-179264144	0.736
1_MACS_peak_748_lociStitched	chr1(.):179286366-179287630	1.3121
1_MACS_peak_749_lociStitched	chr1(.):179601679-179602586	0.7789
1_MACS_peak_750_lociStitched	chr1(.):179850733-179853267	1.0567
1_MACS_peak_751_lociStitched	chr1(.):179972057-179973420	0.8774
1_MACS_peak_752_lociStitched	chr1(.):180123186-180124336	0.6927
1_MACS_peak_753_lociStitched	chr1(.):180182372-180183646	1.0686
1_MACS_peak_754_lociStitched	chr1(.):180470926-180473001	0.9072
2_MACS_peak_755_lociStitched	chr1(.):180817911-180822095	1.0547
1_MACS_peak_757_lociStitched	chr1(.):180991258-180992755	0.7312
2_MACS_peak_758_lociStitched	chr1(.):181073716-181075404	0.7899
1_MACS_peak_760_lociStitched	chr1(.):181103134-181104921	1.2331
1_MACS_peak_761_lociStitched	chr1(.):181118286-181119538	1.3018
1_MACS_peak_762_lociStitched	chr1(.):181128325-181129411	1.3726
1_MACS_peak_763_lociStitched	chr1(.):181367569-181368251	0.883
1_MACS_peak_764_lociStitched	chr1(.):181473524-181475082	0.7227
1_MACS_peak_765_lociStitched	chr1(.):181998110-181999664	0.8018
1_MACS_peak_766_lociStitched	chr1(.):182360074-182361318	0.7034
1_MACS_peak_767_lociStitched	chr1(.):182572916-182574055	0.7996
1_MACS_peak_768_lociStitched	chr1(.):182583573-182585938	1.3647
1_MACS_peak_769_lociStitched	chr1(.):182646144-182647047	0.8078
1_MACS_peak_770_lociStitched	chr1(.):182758083-182759316	0.8331
1_MACS_peak_771_lociStitched	chr1(.):182795880-182796578	0.7631
1_MACS_peak_772_lociStitched	chr1(.):183002176-183003022	1.1117
1_MACS_peak_773_lociStitched	chr1(.):183039652-183041097	0.9196
1_MACS_peak_774_lociStitched	chr1(.):183163599-183164924	1.3717
1_MACS_peak_775_lociStitched	chr1(.):183438920-183441784	1.1176
1_MACS_peak_776_lociStitched	chr1(.):183447079-183448090	0.9001
1_MACS_peak_777_lociStitched	chr1(.):183558874-183560287	1.0433
1_MACS_peak_778_lociStitched	chr1(.):183776271-183777619	0.8681
2_MACS_peak_779_lociStitched	chr1(.):183809849-183815049	1.5348
1_MACS_peak_781_lociStitched	chr1(.):183870800-183871819	1.3326
1_MACS_peak_782_lociStitched	chr1(.):183879467-183882443	2.1051
1_MACS_peak_783_lociStitched	chr1(.):183925078-183926506	1.1998
1_MACS_peak_784_lociStitched	chr1(.):184019919-184021866	1.0844
1_MACS_peak_785_lociStitched	chr1(.):184328882-184329768	0.8358
1_MACS_peak_786_lociStitched	chr1(.):184430982-184431832	1.0251
1_MACS_peak_787_lociStitched	chr1(.):184460365-184461578	1.3214
1_MACS_peak_788_lociStitched	chr1(.):184536395-184537518	0.8917
2_MACS_peak_789_lociStitched	chr1(.):184711818-184715669	0.7766
1_MACS_peak_791_lociStitched	chr1(.):184805883-184806716	0.8744
1_MACS_peak_792_lociStitched	chr1(.):184812293-184813735	1.5128
1_MACS_peak_793_lociStitched	chr1(.):184835861-184837080	1.339
1_MACS_peak_794_lociStitched	chr1(.):184942553-184943407	0.8377
1_MACS_peak_795_lociStitched	chr1(.):185284876-185287605	0.9796
1_MACS_peak_796_lociStitched	chr1(.):185337326-185338048	0.8107
1_MACS_peak_797_lociStitched	chr1(.):185903171-185904209	1.6209
